Country,City,latitude,Longitude,Date,Type,UTCTime
Mozambique,Maputo,-25.966,32.567,2016-01-01,rise,2016-01-01 03:00:53
Mozambique,Maputo,-25.966,32.567,2016-01-01,set,2016-01-01 16:44:59
Mozambique,Maputo,-25.966,32.567,2016-01-02,rise,2016-01-02 03:01:33
Mozambique,Maputo,-25.966,32.567,2016-01-02,set,2016-01-02 16:45:15
Mozambique,Maputo,-25.966,32.567,2016-01-03,rise,2016-01-03 03:02:14
Mozambique,Maputo,-25.966,32.567,2016-01-03,set,2016-01-03 16:45:30
Mozambique,Maputo,-25.966,32.567,2016-01-04,rise,2016-01-04 03:02:55
Mozambique,Maputo,-25.966,32.567,2016-01-04,set,2016-01-04 16:45:43
Mozambique,Maputo,-25.966,32.567,2016-01-05,rise,2016-01-05 03:03:38
Mozambique,Maputo,-25.966,32.567,2016-01-05,set,2016-01-05 16:45:55
Mozambique,Maputo,-25.966,32.567,2016-01-06,rise,2016-01-06 03:04:20
Mozambique,Maputo,-25.966,32.567,2016-01-06,set,2016-01-06 16:46:05
Mozambique,Maputo,-25.966,32.567,2016-01-07,rise,2016-01-07 03:05:04
Mozambique,Maputo,-25.966,32.567,2016-01-07,set,2016-01-07 16:46:13
Mozambique,Maputo,-25.966,32.567,2016-01-08,rise,2016-01-08 03:05:48
Mozambique,Maputo,-25.966,32.567,2016-01-08,set,2016-01-08 16:46:21
Mozambique,Maputo,-25.966,32.567,2016-01-09,rise,2016-01-09 03:06:32
Mozambique,Maputo,-25.966,32.567,2016-01-09,set,2016-01-09 16:46:27
Mozambique,Maputo,-25.966,32.567,2016-01-10,rise,2016-01-10 03:07:17
Mozambique,Maputo,-25.966,32.567,2016-01-10,set,2016-01-10 16:46:31
Mozambique,Maputo,-25.966,32.567,2016-01-11,rise,2016-01-11 03:08:03
Mozambique,Maputo,-25.966,32.567,2016-01-11,set,2016-01-11 16:46:34
Mozambique,Maputo,-25.966,32.567,2016-01-12,rise,2016-01-12 03:08:48
Mozambique,Maputo,-25.966,32.567,2016-01-12,set,2016-01-12 16:46:35
Mozambique,Maputo,-25.966,32.567,2016-01-13,rise,2016-01-13 03:09:34
Mozambique,Maputo,-25.966,32.567,2016-01-13,set,2016-01-13 16:46:35
Mozambique,Maputo,-25.966,32.567,2016-01-14,rise,2016-01-14 03:10:21
Mozambique,Maputo,-25.966,32.567,2016-01-14,set,2016-01-14 16:46:33
Mozambique,Maputo,-25.966,32.567,2016-01-15,rise,2016-01-15 03:11:07
Mozambique,Maputo,-25.966,32.567,2016-01-15,set,2016-01-15 16:46:29
Mozambique,Maputo,-25.966,32.567,2016-01-16,rise,2016-01-16 03:11:54
Mozambique,Maputo,-25.966,32.567,2016-01-16,set,2016-01-16 16:46:24
Mozambique,Maputo,-25.966,32.567,2016-01-17,rise,2016-01-17 03:12:41
Mozambique,Maputo,-25.966,32.567,2016-01-17,set,2016-01-17 16:46:18
Mozambique,Maputo,-25.966,32.567,2016-01-18,rise,2016-01-18 03:13:28
Mozambique,Maputo,-25.966,32.567,2016-01-18,set,2016-01-18 16:46:10
Mozambique,Maputo,-25.966,32.567,2016-01-19,rise,2016-01-19 03:14:15
Mozambique,Maputo,-25.966,32.567,2016-01-19,set,2016-01-19 16:46:00
Mozambique,Maputo,-25.966,32.567,2016-01-20,rise,2016-01-20 03:15:02
Mozambique,Maputo,-25.966,32.567,2016-01-20,set,2016-01-20 16:45:49
Mozambique,Maputo,-25.966,32.567,2016-01-21,rise,2016-01-21 03:15:49
Mozambique,Maputo,-25.966,32.567,2016-01-21,set,2016-01-21 16:45:36
Mozambique,Maputo,-25.966,32.567,2016-01-22,rise,2016-01-22 03:16:37
Mozambique,Maputo,-25.966,32.567,2016-01-22,set,2016-01-22 16:45:22
Mozambique,Maputo,-25.966,32.567,2016-01-23,rise,2016-01-23 03:17:24
Mozambique,Maputo,-25.966,32.567,2016-01-23,set,2016-01-23 16:45:07
Mozambique,Maputo,-25.966,32.567,2016-01-24,rise,2016-01-24 03:18:11
Mozambique,Maputo,-25.966,32.567,2016-01-24,set,2016-01-24 16:44:49
Mozambique,Maputo,-25.966,32.567,2016-01-25,rise,2016-01-25 03:18:58
Mozambique,Maputo,-25.966,32.567,2016-01-25,set,2016-01-25 16:44:31
Mozambique,Maputo,-25.966,32.567,2016-01-26,rise,2016-01-26 03:19:45
Mozambique,Maputo,-25.966,32.567,2016-01-26,set,2016-01-26 16:44:11
Mozambique,Maputo,-25.966,32.567,2016-01-27,rise,2016-01-27 03:20:31
Mozambique,Maputo,-25.966,32.567,2016-01-27,set,2016-01-27 16:43:49
Mozambique,Maputo,-25.966,32.567,2016-01-28,rise,2016-01-28 03:21:18
Mozambique,Maputo,-25.966,32.567,2016-01-28,set,2016-01-28 16:43:26
Mozambique,Maputo,-25.966,32.567,2016-01-29,rise,2016-01-29 03:22:04
Mozambique,Maputo,-25.966,32.567,2016-01-29,set,2016-01-29 16:43:02
Mozambique,Maputo,-25.966,32.567,2016-01-30,rise,2016-01-30 03:22:51
Mozambique,Maputo,-25.966,32.567,2016-01-30,set,2016-01-30 16:42:36
Mozambique,Maputo,-25.966,32.567,2016-01-31,rise,2016-01-31 03:23:37
Mozambique,Maputo,-25.966,32.567,2016-01-31,set,2016-01-31 16:42:09
Mozambique,Maputo,-25.966,32.567,2016-02-01,rise,2016-02-01 03:24:22
Mozambique,Maputo,-25.966,32.567,2016-02-01,set,2016-02-01 16:41:41
Mozambique,Maputo,-25.966,32.567,2016-02-02,rise,2016-02-02 03:25:08
Mozambique,Maputo,-25.966,32.567,2016-02-02,set,2016-02-02 16:41:11
Mozambique,Maputo,-25.966,32.567,2016-02-03,rise,2016-02-03 03:25:53
Mozambique,Maputo,-25.966,32.567,2016-02-03,set,2016-02-03 16:40:40
Mozambique,Maputo,-25.966,32.567,2016-02-04,rise,2016-02-04 03:26:38
Mozambique,Maputo,-25.966,32.567,2016-02-04,set,2016-02-04 16:40:08
Mozambique,Maputo,-25.966,32.567,2016-02-05,rise,2016-02-05 03:27:22
Mozambique,Maputo,-25.966,32.567,2016-02-05,set,2016-02-05 16:39:34
Mozambique,Maputo,-25.966,32.567,2016-02-06,rise,2016-02-06 03:28:07
Mozambique,Maputo,-25.966,32.567,2016-02-06,set,2016-02-06 16:39:00
Mozambique,Maputo,-25.966,32.567,2016-02-07,rise,2016-02-07 03:28:51
Mozambique,Maputo,-25.966,32.567,2016-02-07,set,2016-02-07 16:38:24
Mozambique,Maputo,-25.966,32.567,2016-02-08,rise,2016-02-08 03:29:34
Mozambique,Maputo,-25.966,32.567,2016-02-08,set,2016-02-08 16:37:46
Mozambique,Maputo,-25.966,32.567,2016-02-09,rise,2016-02-09 03:30:17
Mozambique,Maputo,-25.966,32.567,2016-02-09,set,2016-02-09 16:37:08
Mozambique,Maputo,-25.966,32.567,2016-02-10,rise,2016-02-10 03:31:00
Mozambique,Maputo,-25.966,32.567,2016-02-10,set,2016-02-10 16:36:29
Mozambique,Maputo,-25.966,32.567,2016-02-11,rise,2016-02-11 03:31:42
Mozambique,Maputo,-25.966,32.567,2016-02-11,set,2016-02-11 16:35:48
Mozambique,Maputo,-25.966,32.567,2016-02-12,rise,2016-02-12 03:32:24
Mozambique,Maputo,-25.966,32.567,2016-02-12,set,2016-02-12 16:35:06
Mozambique,Maputo,-25.966,32.567,2016-02-13,rise,2016-02-13 03:33:05
Mozambique,Maputo,-25.966,32.567,2016-02-13,set,2016-02-13 16:34:23
Mozambique,Maputo,-25.966,32.567,2016-02-14,rise,2016-02-14 03:33:46
Mozambique,Maputo,-25.966,32.567,2016-02-14,set,2016-02-14 16:33:39
Mozambique,Maputo,-25.966,32.567,2016-02-15,rise,2016-02-15 03:34:27
Mozambique,Maputo,-25.966,32.567,2016-02-15,set,2016-02-15 16:32:54
Mozambique,Maputo,-25.966,32.567,2016-02-16,rise,2016-02-16 03:35:07
Mozambique,Maputo,-25.966,32.567,2016-02-16,set,2016-02-16 16:32:08
Mozambique,Maputo,-25.966,32.567,2016-02-17,rise,2016-02-17 03:35:47
Mozambique,Maputo,-25.966,32.567,2016-02-17,set,2016-02-17 16:31:21
Mozambique,Maputo,-25.966,32.567,2016-02-18,rise,2016-02-18 03:36:26
Mozambique,Maputo,-25.966,32.567,2016-02-18,set,2016-02-18 16:30:33
Mozambique,Maputo,-25.966,32.567,2016-02-19,rise,2016-02-19 03:37:04
Mozambique,Maputo,-25.966,32.567,2016-02-19,set,2016-02-19 16:29:44
Mozambique,Maputo,-25.966,32.567,2016-02-20,rise,2016-02-20 03:37:43
Mozambique,Maputo,-25.966,32.567,2016-02-20,set,2016-02-20 16:28:54
Mozambique,Maputo,-25.966,32.567,2016-02-21,rise,2016-02-21 03:38:20
Mozambique,Maputo,-25.966,32.567,2016-02-21,set,2016-02-21 16:28:03
