Country,City,latitude,Longitude,Date,Type,UTCTime
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-01,rise,2016-01-01 10:43:25
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-01,set,2016-01-01 21:47:47
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-02,rise,2016-01-02 10:43:45
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-02,set,2016-01-02 21:48:23
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-03,rise,2016-01-03 10:44:05
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-03,set,2016-01-03 21:48:59
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-04,rise,2016-01-04 10:44:24
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-04,set,2016-01-04 21:49:36
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-05,rise,2016-01-05 10:44:41
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-05,set,2016-01-05 21:50:13
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-06,rise,2016-01-06 10:44:58
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-06,set,2016-01-06 21:50:50
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-07,rise,2016-01-07 10:45:13
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-07,set,2016-01-07 21:51:27
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-08,rise,2016-01-08 10:45:27
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-08,set,2016-01-08 21:52:05
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-09,rise,2016-01-09 10:45:41
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-09,set,2016-01-09 21:52:43
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-10,rise,2016-01-10 10:45:53
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-10,set,2016-01-10 21:53:21
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-11,rise,2016-01-11 10:46:03
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-11,set,2016-01-11 21:53:58
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-12,rise,2016-01-12 10:46:13
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-12,set,2016-01-12 21:54:36
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-13,rise,2016-01-13 10:46:21
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-13,set,2016-01-13 21:55:14
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-14,rise,2016-01-14 10:46:29
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-14,set,2016-01-14 21:55:52
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-15,rise,2016-01-15 10:46:35
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-15,set,2016-01-15 21:56:29
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-16,rise,2016-01-16 10:46:39
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-16,set,2016-01-16 21:57:07
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-17,rise,2016-01-17 10:46:43
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-17,set,2016-01-17 21:57:44
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-18,rise,2016-01-18 10:46:45
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-18,set,2016-01-18 21:58:21
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-19,rise,2016-01-19 10:46:46
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-19,set,2016-01-19 21:58:58
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-20,rise,2016-01-20 10:46:45
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-20,set,2016-01-20 21:59:35
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-21,rise,2016-01-21 10:46:44
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-21,set,2016-01-21 22:00:11
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-22,rise,2016-01-22 10:46:41
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-22,set,2016-01-22 22:00:47
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-23,rise,2016-01-23 10:46:37
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-23,set,2016-01-23 22:01:23
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-24,rise,2016-01-24 10:46:32
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-24,set,2016-01-24 22:01:58
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-25,rise,2016-01-25 10:46:25
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-25,set,2016-01-25 22:02:34
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-26,rise,2016-01-26 10:46:17
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-26,set,2016-01-26 22:03:08
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-27,rise,2016-01-27 10:46:08
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-27,set,2016-01-27 22:03:43
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-28,rise,2016-01-28 10:45:58
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-28,set,2016-01-28 22:04:17
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-29,rise,2016-01-29 10:45:46
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-29,set,2016-01-29 22:04:50
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-30,rise,2016-01-30 10:45:34
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-30,set,2016-01-30 22:05:24
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-31,rise,2016-01-31 10:45:20
Sint Maarten,Philipsburg,18.029,-63.046,2016-01-31,set,2016-01-31 22:05:56
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-01,rise,2016-02-01 10:45:05
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-01,set,2016-02-01 22:06:29
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-02,rise,2016-02-02 10:44:49
